smpstime	smpsconc			
6/25/15 16:08	12.3149			
6/25/15 16:10	12.6249			
6/25/15 16:12	11.8193			
6/25/15 16:15	11.5736			
6/25/15 16:17	11.4173			
6/25/15 16:19	11.4814			
6/25/15 16:21	11.5461			
6/25/15 16:24	11.0794			
6/25/15 16:26	10.8759			
6/25/15 16:28	11.3242			
6/25/15 16:30	10.7006			
6/25/15 16:33	10.7			
6/25/15 16:35	10.9882			
6/25/15 16:37	10.1698			
6/25/15 16:39	9.95178			
6/25/15 16:42	10.1707			
6/25/15 16:44	10.3279			
6/25/15 16:46	10.0454			
6/25/15 16:48	9.97138			
6/25/15 16:51	10.0099			
6/25/15 16:53	9.65439			
6/25/15 16:55	9.64446			
6/25/15 16:57	10.2761			
6/25/15 17:00	9.29783			
