smpstime	smpsconc
6/19/2015 16:56	17.1496
6/19/2015 16:58	16.7239
6/19/2015 17:00	17.2978
6/19/2015 17:03	16.0876
6/19/2015 17:05	16.2855
6/19/2015 17:07	16.9522
6/19/2015 17:09	14.3648
6/19/2015 17:12	15.1775
6/19/2015 17:14	14.6435
6/19/2015 17:16	15.2153
6/19/2015 17:18	3.14014
6/19/2015 17:21	14.5782
6/19/2015 17:23	14.0656
6/19/2015 17:25	13.6699
6/19/2015 17:27	15.5266
6/19/2015 17:30	11.464
6/19/2015 17:32	11.2346
6/19/2015 17:34	11.5535
6/19/2015 17:36	12.5159
6/19/2015 17:39	12.0516
6/19/2015 17:41	11.4061
6/19/2015 17:43	11.9962
6/19/2015 17:45	12.6009
6/19/2015 17:48	10.8769
6/19/2015 17:50	11.1226
6/19/2015 17:52	10.9389
6/19/2015 17:54	11.5791
6/19/2015 17:57	11.3868
6/19/2015 17:59	11.5925
6/19/2015 18:01	11.2306
6/19/2015 18:03	10.891
6/19/2015 18:06	10.5935
6/19/2015 18:08	10.5511
6/19/2015 18:10	10.102
6/19/2015 18:12	10.9101
6/19/2015 18:15	10.6607
6/19/2015 18:17	10.015
6/19/2015 18:19	9.76206
6/19/2015 18:21	0.00190163
6/19/2015 18:24	0
6/19/2015 18:26	0
